Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	KEGG Pathways	Chromosome	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance: F25: Sample	Abundance: F26: Sample	Abundance: F27: Sample	Abundance: F37: Sample	Abundance: F38: Sample	Abundance: F39: Sample	Abundance: F74: Sample	Abundance: F75: Sample	Abundance: F76: Sample	Found in Sample: [S25] F25: Sample	Found in Sample: [S26] F26: Sample	Found in Sample: [S27] F27: Sample	Found in Sample: [S37] F37: Sample	Found in Sample: [S38] F38: Sample	Found in Sample: [S39] F39: Sample	Found in Sample: [S74] F74: Sample	Found in Sample: [S75] F75: Sample	Found in Sample: [S76] F76: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	A0A140FW79	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_5525 PE=4 SV=1	0	38.873	20	3	161	3	101	10.2	8.16	351.67	3					26969830	PP_5525	PP_5525					0	12416017.75	13298278.91	13079684.94	32771303	32426815.5	35810165.13	19454557.13	16765959.19	27548804.88	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88IY8	Methyl-accepting chemotaxis protein McpP OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=mcpP PE=1 SV=1	0	38.826	11	5	80	3	544	58.6	5.88	123.88	5	"regulation of biological process;response to stimulus"	membrane	signal transducer activity	Pf00015, Pf00672, Pf08269	1042742	PP_2861	PP_2861	"Bacterial chemotaxis; Two-component system"				2	1237442.875	1435733.75	751588.9375	1295130.25		1698198.125	1522681.375	1886893.625	1263128.25	Peak Found	Peak Found	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q88PW1	Lipid A deacylase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=pagL-I PE=3 SV=2	0	38.825	30	3	62	3	172	18.6	4.84	67.37	3		membrane	catalytic activity	Pf09411	1044570	PP_0737	"PP_0737; pagL-I"					0	764396.5	555241.625	296919.1875	4745134	6164244	5016789.75	3927815.188	1083535.875	1583911.219	High	Peak Found	Peak Found	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88NB9	Molybdopterin synthase small subunit OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=moaD PE=4 SV=1	0	38.745	48	5	194	5	82	9.2	4.63	327.97	5	metabolic process		"catalytic activity;nucleotide binding"	Pf02597	1043756	PP_1293	moaD	"Folate biosynthesis; Sulfur relay system; Metabolic pathways"				3	5515419.688	3252185.688	4731139.25	5491494.625	3787612.094	7814856.047	5525415.672	5050581.313	7935700.406	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88RK7	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_0122 PE=4 SV=1	0	38.726	54	6	304	6	95	10.7	5.45	292.86	6				Pf11191	1043615	PP_0122	PP_0122					0	49119336.5	53836168.69	56208415.31	91111325	91334602.69	104135422.1	85355237.25	67868107.13	97993914.84	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88P90	Toluene-tolerance protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=ttg2E PE=4 SV=1	0	38.654	68	6	273	6	100	10.7	4.88	310.05	6				Pf01740, Pf13466	1044881	PP_0962	ttg2E	ABC transporters				1	100928487.2	75186412.45	89510377.97	63186749.5	53727021.09	123117740.6	116026562.8	71648367.03	119869771.7	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88IC9	Peptidylprolyl isomerase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=ppiC-I PE=4 SV=1	0	38.607	56	6	123	6	91	10.1	9.94	116.58	6	metabolic process		catalytic activity	Pf00639, Pf13145, Pf13616	1043788	PP_3070	"ppiC-1; ppiC-I"					0	8891174.547	9238062.063	8756639.125	15601017.13	9232955.438	27857011.25	5575002.25	5000967	7940028.438	High	High	Peak Found	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88KA9	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2381 PE=4 SV=1	0	38.588	55	6	70	6	80	8.9	6.64	99.38	6					1045414	PP_2381	PP_2381					0	3704902.195	3419264.719	3548873.5	3704765.25	6527933.203	13059736.72	18751317.38	21007227.88	22087502.88	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88C83	Transcriptional regulator, LysR family OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_5300 PE=3 SV=1	0	38.48	29	7	44	7	349	38.2	6.71	23.15	7	"metabolic process;regulation of biological process"		DNA binding	Pf00126, Pf03466, Pf13518, Pf13551, Pf13936	1042183	PP_5300	PP_5300					0	85914787.41	67769587.13	76485917.97	57158936.25	76034473.03	80051146.78	133095049	67926135.66	112640030.8	High	Peak Found	High	High	High	Peak Found	High	High	Peak Found	1	
FALSE	High	Master Protein	Q88QX7	ACT domain protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_0357 PE=4 SV=1	0	38.472	36	4	133	4	172	19	4.83	240.11	4	"metabolic process;regulation of biological process"			Pf01842, Pf13291, Pf13740	1044064	PP_0357	PP_0357					0	3936499.75	5138601.625	5358592.875	9925623.625	13392354.25	11246172.75	300034.5		859447.9375	High	High	High	High	High	High	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q88K58	Antitoxin Xre OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=xre PE=1 SV=1	0	38.429	48	7	112	7	159	18	5.87	127.18	7				Pf09722	1045602	PP_2433	PP_2433					0	2368023.688	3661200.75	1675640.25	1676443.25	1285939.25	5897328.938	1006295.813	3336374.75	2548557.375	High	High	High	High	High	High	High	Peak Found	High	1	
FALSE	High	Master Protein	Q88CM7	Putative isomerase/hydrolase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=ycgM PE=4 SV=1	0	38.407	32	6	375	6	221	23.9	5.05	445.1	6	metabolic process		catalytic activity	Pf01557	1042574	PP_5153	"PP_5153; ycgM"					0	43253728	52346820.31	50876831.63	49047426.19	39181928.31	81567940.13	55472018.88	43583142.19	61686028.25	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	A0A140FWH2	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_5620 PE=4 SV=1	0	38.383	31	4	70	4	177	20.6	5.15	82.13	4					26969930	PP_5620	PP_5620					0	12755431.31	15172988.25	17779970.31	36707424.5	32951147.81	28141609.44	18520912.38	15778066.69	25116285.56	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88D87	Putative glycosyltransferase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4940 PE=4 SV=1	0	38.324	28	7	90	7	318	36.9	8.88	104.19	7			catalytic activity	Pf00534, Pf13524	1042446	PP_4940	PP_4940					0	1693128.875	1647483.563	993453.625	7686492.375	5979033.063	4068181.938	1558500.875	2031863	1359358.594	High	High	High	High	High	High	High	High	Peak Found	1	
FALSE	High	Master Protein	Q88CB8	GGDEF domain protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_5263 PE=4 SV=1	0	38.273	13	7	71	7	555	61.9	5.86	55.54	7				Pf00563, Pf00990	1042305	PP_5263	PP_5263					0	4118443.75	6638557.313	7623313.469	11260734.88	4428549.625	6188961	1446651.875	1960640.938	767985.6563	High	High	High	High	High	High	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q88JE9	Peroxiredoxin OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2700 PE=3 SV=1	0	38.245	32	3	113	3	166	17.7	5.54	191.2	3	"cellular homeostasis;metabolic process;regulation of biological process"		"antioxidant activity;catalytic activity"	Pf00578, Pf08534	1046217	PP_2700	PP_2700					0	784871.8125	1624745	1412034.25	3177846.063	3484077.75	2749438	666456.6875	682192.1875		High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88PW3	Molybdopterin-synthase adenylyltransferase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=moeB PE=4 SV=1	0	38.037	24	5	239	5	251	26.6	5.45	398.47	5			catalytic activity	Pf00899, Pf05237	1044568	PP_0735	"PP_0735; moeB"	Sulfur relay system				1	5975584	8303947.375	7901555	13928318.38	9345853.813	14418534.25	9551569.063	10979343.88	10357522.25	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EK2	Transcriptional regulator, LysR family OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4460 PE=3 SV=1	0	37.997	31	8	94	8	308	34.1	9.63	91.35	8	"metabolic process;regulation of biological process"		DNA binding	Pf00126, Pf03466	1041839	PP_4460	PP_4460					0	3652264.641	3033197.453	1855809.75	8609271	7892633.375	5660808.625	4059968	4129364.344	3603106.594	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88P84	Transcriptional regulator, GntR family OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_0969 PE=4 SV=1	0	37.952	40	6	61	6	216	24	6.15	68.55	6	"metabolic process;regulation of biological process"		DNA binding	Pf00392, Pf07729, Pf14502	1044889	PP_0969	PP_0969					0	316922.625	1386904.969	1088080.875	1202764.5	392309.8125	1850657.25	3446976	3905956.375	5628998.125	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	1	
FALSE	High	Master Protein	Q88FF9	Putative Outer membrane siderophore receptor OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4137 PE=3 SV=1	0	37.851	16	7	87	7	690	76.4	5.9	72.07	7	transport	membrane	receptor activity	Pf00593, Pf07715	1042629	PP_4137	PP_4137					0	28625035.28	34743264.53	36451828.5	49907504.19	24370526.5	39288065.81	35487239	31227516.91	40482377.94	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88ME5	NMN amidohydrolase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=pncC PE=3 SV=1	0	37.834	49	6	101	6	160	16.7	5.57	176.19	6			catalytic activity	Pf02464	1044834	PP_1628	"PP_1628; pncC"	Nicotinate and nicotinamide metabolism				1	4472339.945	4458349.695	4144087.109	7706784.688	6083154.625	9536460.656	5349681.063	4619000.406	6410718.344	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QX1	8-amino-7-oxononanoate synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=bioF PE=3 SV=1	0	37.775	35	7	81	7	390	41.3	6.47	99.98	7	metabolic process		catalytic activity	Pf00155, Pf01053, Pf01212	1044070	PP_0363	bioF	"Biotin metabolism; Metabolic pathways"				2	1790319.688	445376.1563	3026213.844	7659177	1672002.469	1844833.375			2949829.313	High	High	High	High	High	High	Not Found	Not Found	Peak Found	1	
FALSE	High	Master Protein	Q88NV0	AotO-related protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1104 PE=4 SV=1	0	37.667	22	6	117	6	371	40.9	6.34	203.33	6	metabolic process		"catalytic activity;metal ion binding"	Pf00246, Pf04952	1045220	PP_1104	PP_1104					0	2563779.688	5103917.688	4909238.875	11847461.81	7970468.281	8566073.375	6073346.75	4044058.313	4974393.688	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88R18	Putative glycine-betaine dioxygenase subunit OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=gbcB PE=4 SV=1	0	37.602	21	5	84	5	368	40.6	5.43	62.2	5	"metabolic process;transport"		"catalytic activity;metal ion binding"	Pf00111, Pf00175, Pf00970	1044011	PP_0316	"PP_0316; gbcB"					0	2635947.063	2659114.719	2500170.406	3447978.531	1504795.938	1085784.938	2241021.313	2480289.844	2153238.063	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88KV8	Transcriptional regulator, Cro/CI family OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2181 PE=4 SV=1	0	37.555	38	6	164	5	184	20.4	5.58	214.26	6			DNA binding	Pf01381, Pf07883, Pf12844, Pf13560	1045041	PP_2181	PP_2181					0	18172423.94	15088791.97	17010065.78	15517813.88	10015614.5	23226008.19	16961401.88	15499988.75	23183976.78	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EK4	Putative Opine ABC transporter, periplasmic binding protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4458 PE=4 SV=1	0	37.518	14	6	82	6	526	57	6.81	97.73	6	transport			Pf00496	1041954	PP_4458	PP_4458					0	431635.8438	1493000.844	511088.4688	444435	1821517.281	2722726.875	211151.9219	714395.4688	337875.9688	High	High	High	High	High	High	High	High	Peak Found	1	
FALSE	High	Master Protein	Q88MV5	Ribosome maturation factor RimM OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rimM PE=3 SV=1	0	37.483	43	8	191	8	178	20.1	5	164.41	8	metabolic process	"cytoplasm;ribosome"		Pf01782, Pf05239	1045770	PP_1463	rimM					0	9273891.125	11397101.41	9269927.594	22207290.38	28745986.97	27732959.88	21240120.28	28464544.53	18213616.75	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88EY2	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4319 PE=4 SV=1	0	37.478	68	6	80	6	138	14.9	9.64	98.23	6					1041798	PP_4319	PP_4319					0	2962861.766	3354545.719	3054717.25	8917251	8344481.688	4856711.188	4826484.625	3830897	6352016.5	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88CA5	Phospholipase D family protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_5276 PE=4 SV=1	0	37.433	22	7	12	7	517	57.5	8.54	12	7			catalytic activity	Pf00614, Pf13091	1045680	PP_5276	PP_5276	"Metabolic pathways; Glycerophospholipid metabolism"				2				1827660.5	4799702.875	593678				Not Found	Not Found	Not Found	High	High	Peak Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Q88LH7	Cytochrome P450 family protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1955 PE=3 SV=1	0	37.316	22	5	49	5	411	46.4	5.54	65.77	5	metabolic process		"catalytic activity;metal ion binding"	Pf00067	1043095	PP_1955	PP_1955					0		2414476.75	2016810.25	1872625.188			1829635.688	1549121.914		Not Found	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Peak Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	A0A140FW29	Pseudouridine synthase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=rluA PE=3 SV=1	0	37.22	33	6	162	6	211	23.9	6.99	141.51	6	metabolic process		"catalytic activity;RNA binding"	Pf00849	1043446	PP_1731	rluA					0	10029790	8120939.875	8664418.125	20009443.25	17270986.56	18850455.44	10661891.75	9414604.313	12381698.5	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88PE2	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_0908 PE=4 SV=1	0	37.22	26	7	78	7	365	39.9	6.76	36.27	7			protein binding	Pf07433, Pf10282	1044803	PP_0908	PP_0908					0	754176.3125	430351.2813		5404048.063	5764063.313	340060.4063	1183778.219	1265818.094	1267848.281	Peak Found	Peak Found	High	High	High	High	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q88H14	DNA-binding response regulator, LuxR family OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_3551 PE=4 SV=1	0	37.091	33	6	103	6	210	22.5	5.41	194.48	6	"metabolic process;regulation of biological process;response to stimulus"		DNA binding	Pf00072, Pf00196, Pf04545, Pf08281, Pf13384	1046236	PP_3551	PP_3551					0	1082380.625	4268033.188	354825.25	1851012.5	1980246.063	1509755.25	4231605.875	7668205.813	6252947.875	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88E17	Ubiquinol oxidase subunit I, cyanide insensitive OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=cioA PE=3 SV=1	0	37.063	9	5	84	5	478	53	8.78	89.05	5	metabolic process	membrane		Pf01654	1043772	PP_4651	cioA	"Oxidative phosphorylation; Two-component system; Metabolic pathways"				3	1421298.797	924874.6875	1114471.094	925249.125	1425324.625	7813820.172	4234972.781	5705253.219	2868103.313	High	Peak Found	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DK5	tRNA-dihydrouridine synthase B OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=dusB PE=3 SV=1	0	36.956	34	8	79	8	337	36.5	7.87	113.97	8	metabolic process		"catalytic activity;nucleotide binding;RNA binding"	Pf00977, Pf01207, Pf01680	1041701	PP_4820	"PP_4820; dusB"					0	939525.4688	923913.5625	2020351.875	311916.6563	167765.2344	1763558.438		291897.9375		High	High	High	High	High	High	Not Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	Q88JV7	Oxidoreductase, short-chain dehydrogenase/reductase family OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2540 PE=4 SV=1	0	36.907	29	7	202	7	258	26.8	7.62	223.98	7				Pf00106, Pf08659, Pf13561	1045822	PP_2540	PP_2540	"Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids; Biotin metabolism; Fatty acid metabolism; Metabolic pathways"				5	5334103.406	8667615.469	9395801.125	13942425.13	9895008.906	10641905.22	5077436.438	6588855.906	6390161.188	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88M62	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1712 PE=4 SV=1	0	36.888	21	7	36	7	469	51.2	5.81	34.15	7					1043521	PP_1712	PP_1712					0	1079895.594			7019016.781	8688928.313	1509860.125	1773036.938	1966744.313	1956619.5	Peak Found	Not Found	Not Found	High	High	High	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q88R48	Adenine DNA glycosylase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=mutY PE=3 SV=1	0	36.874	21	6	171	6	355	39.7	6.76	124.43	6	"metabolic process;response to stimulus"		"catalytic activity;DNA binding"	Pf00633, Pf00730, Pf10576, Pf14716, Pf14815	1043933	PP_0286	mutY	Base excision repair				1	6918984.094	5894767.719	3274080.188	9344678.25	6789059.406	7969281.875	8532187.938	7809125.813	11080862.25	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88DX0	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=folK PE=4 SV=1	0	36.864	42	3	101	3	159	17.5	5.31	236.8	3	metabolic process		catalytic activity	Pf01288	1045101	PP_4698	"folK-2; folK"	"Folate biosynthesis; Metabolic pathways"				2	2836212.25	1297735.375	1980954.875	3294279.125	2732646.625	3761850.375	3486937.625	2289776.563	2864382.625	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88N51	Exodeoxyribonuclease I OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=sbcB PE=4 SV=1	0	36.826	18	7	131	7	477	55.2	6.23	186.2	7	"metabolic process;response to stimulus"		"catalytic activity;metal ion binding"	Pf00929, Pf08411	1044122	PP_1365	sbcB	Mismatch repair				1	2997309.375	5384304.375	4558514.578	7389386.313	4000194.625	8528735.625	4229611.438	6493672	8358832.594	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88GE7	Methyltranfer_dom domain-containing protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_3777 PE=4 SV=1	0	36.792	28	6	20	6	279	31.3	5.5	31.41	6	metabolic process		catalytic activity	Pf01170, Pf05175, Pf06325, Pf08241, Pf08242, Pf12847, Pf13649, Pf13659, Pf13847	1046355	PP_3777	PP_3777					0	1377196.75	1307686.063	1705151.5	14523495.41	13933471.19	36363743.63	4866847.125	6978815.438	5273783.031	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88LK4	Putative Arsenical resistance protein ArsH OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_1927 PE=4 SV=1	0	36.658	37	7	136	7	241	27.7	6.16	220.99	7	metabolic process		catalytic activity	Pf02525, Pf03358	1043138	PP_1927	PP_1927					0	3382265	4022027.188	3496634.313	10875648.53	10886602.38	5791858.813	5700210.563	5355474.156	6518238.688	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88FT6	Sulfurtransferase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tusE PE=3 SV=1	0	36.609	28	3	148	3	111	12.3	6.79	393.61	3			catalytic activity	Pf04358	1046566	PP_3996	"PP_3996; tusE"	Sulfur relay system				1	3632128.25	4578965.5	3076752.719	4655816.078	3611372.43	7224126.781	3611928.656	5174606.594	2535600.016	High	High	Peak Found	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88F43	Cytochrome c oxidase subunit, cbb3-type OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=ccoO-II PE=4 SV=1	0	36.578	38	7	146	3	202	22.6	8.68	204.3	7	"metabolic process;transport"	membrane	"catalytic activity;metal ion binding;transporter activity"	Pf02433	1041699	PP_4256	"ccoO-2; ccoO-II"	"Metabolic pathways; Oxidative phosphorylation; Two-component system"				3	11119045.44	12424053.61	10622078.33	18385802.38	19153536.41	18916578.75	13732592.06	13979328.25	17731361.5	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88QG5	Exodeoxyribonuclease 7 small subunit OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=xseB PE=3 SV=1	0	36.576	68	6	187	6	80	8.7	4.26	347.14	6	metabolic process	cytoplasm	catalytic activity	Pf02609	1044305	PP_0529	xseB	Mismatch repair				1	19569640.25	20977057.5	18946258.56	24681682.16	20845853.63	35969918.25	25703571.5	25085692.34	32607409.38	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88D63	D-erythrose-4-phosphate dehydrogenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=epd PE=3 SV=1	0	36.549	22	6	222	6	352	38.5	6.4	318.11	6	metabolic process	cytoplasm	"catalytic activity;nucleotide binding"	Pf00044, Pf02800	1041821	PP_4964	epd	"Vitamin B6 metabolism; Metabolic pathways"				2	10582309.25	16251983.13	16837026.38	18621519.06	6940709.563	16722798.31	9346037.438	10572158.19	10391862.11	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q88C84	Glutamate-putrescine ligase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=puuA-II PE=3 SV=1	0	36.527	12	4	128	1	460	51	4.86	384.37	4	metabolic process		catalytic activity	Pf00120	1042223	PP_5299	"PP_5299; puuA-II"	"Alanine, aspartate and glutamate metabolism; Metabolic pathways; Biosynthesis of amino acids; Arginine biosynthesis; Glyoxylate and dicarboxylate metabolism; Microbial metabolism in diverse environments; Two-component system; Nitrogen metabolism"				8		509504.4063			1650377.75	2325750.25	888506	1402180.25		Not Found	Peak Found	Not Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	Q88EB2	Uncharacterized protein OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_4554 PE=4 SV=1	0	36.505	33	5	70	5	161	18.4	5.5	72.77	5	response to stimulus			Pf08327	1046216	PP_4554	PP_4554					0	5977372.875	6699747.547	6373020.469	15612737.56	14922806.25	11109307.84	8544906.313	7915770.063	10513968.81	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	1	Met-loss [N-Term]
FALSE	High	Master Protein	Q88IU0	Glutarate 2-hydroxylase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=glaH PE=3 SV=1	0	36.435	23	5	34	5	325	37.2	5.55	42.78	5	metabolic process		"catalytic activity;metal ion binding"	Pf02668, Pf08943	1042846	PP_2909	"PP_2909; csiD"					0	23721278	15836525	22113324.5	28697760	29965698	24099115.5	18364999.5	14862553.63	23126230.56	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	1	
FALSE	High	Master Protein	Q88MZ8	Transcriptional regulatory protein tctD OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=tctD PE=4 SV=1	0	36.419	41	6	62	6	223	24.6	6.24	103	6	"metabolic process;regulation of biological process;response to stimulus"		DNA binding	Pf00072, Pf00486	1045866	PP_1420	tctD	Two-component system				1	4253840.75	6122332.125	9313863.375	12273480.25	5167204.938	9092881	7744722	9011630.375	10807208.69	Peak Found	Peak Found	High	High	High	High	High	High	High	1	
